,Country Name,Region,Year,Exports,Tax revenue,FDI outflow,GDP growth,GDS,Imports,Poverty headcount,Unemployment,Resident's Savings,FCE,Income Measure,Education expenditure,Geographic Size,Life expectancy,Population
428,Colombia,South America,2015,0.059159439,0.188048209,0.228234295,0.557937284,0.574143025,0.072164806,0.060718711,0.303206997,0.133023616,0.425856975,0.156695536,0.382842389,0.067729772,0.757219222,0.033736137
429,Colombia,South America,2016,0.054176773,0.163650821,0.228648025,0.531153669,0.570316396,0.063858865,0.060718711,0.315962099,0.132954687,0.429683604,0.164956696,0.402922025,0.067729772,0.764292331,0.034100991
471,Cote d'Ivoire,Africa,2008,0.141201296,0.100742572,0.224689458,0.614271536,0.593055268,0.127873185,0.426270136,0.225400875,0.125262324,0.406944732,0.011192538,0.611792711,0.019398469,0.010113884,0.014366265
478,Cote d'Ivoire,Africa,2015,0.121654388,0.108197439,0.224616139,0.688662173,0.679700597,0.090125873,0.413878563,0.083345481,0.130364143,0.320299403,0.040506329,0.600598949,0.019398469,0.145924176,0.016782369
482,Croatia,Europe,2009,0.147641347,0.25023431,0.230234404,0.244194674,0.595726676,0.174063507,0.011152416,0.326166181,0.127493053,0.404273324,0.240772818,0.269507878,0.003397785,0.754287276,0.002878326
483,Croatia,Europe,2010,0.165681058,0.251296298,0.226487808,0.428448249,0.595041296,0.17069101,0.014869888,0.414358601,0.127531535,0.404958704,0.239173884,0.273369217,0.003397785,0.764444692,0.002871296
484,Croatia,Europe,2011,0.179273795,0.241175589,0.224287388,0.464224555,0.578189633,0.188220801,0.007434944,0.489431487,0.127460047,0.421810367,0.253297801,0.261779192,0.003397785,0.774360264,0.002860625
485,Croatia,Europe,2012,0.18296276,0.250618659,0.224143966,0.394623747,0.567021413,0.192368931,0.009913259,0.571428571,0.127173249,0.432978587,0.257828115,0.272790925,0.003397785,0.779277743,0.00285121
486,Croatia,Europe,2013,0.187616451,0.259405208,0.224411199,0.454545986,0.568792734,0.200898899,0.008674102,0.619533528,0.127577646,0.431207266,0.270752831,0.263437346,0.003397785,0.78596874,0.002842655
487,Croatia,Europe,2014,0.203107,0.25372951,0.23426431,0.453656915,0.582624309,0.209664334,0.012391574,0.620991254,0.127726199,0.417375691,0.275016656,0.267565708,0.003397785,0.797577215,0.002830187
